DOI (v31),Abstract,Unique Visitors,Visits Trends,Page View Trend,HTML Full Text View (e42),Full Text Views (e44),PDF Full Text View (e53),tweet,date tweeted,Times Cited,,
10.1097/ACM.0000000000000714,"The transition of a medical student or a nursing student into a health care practitioner requires many changes. Among these is the development of an appropriate professional identity, which assists in the establishment of a sound base for professional practice and therefore should be a focus for health professions educators. There is evidence, however, that medical education and nursing education face challenges in guiding students' development of appropriate professional identities. In medicine, there is concern that medical education may contribute to the development of professional identities that alienate patients rather than identities that are patient centered. The nursing profession struggles with poor retention rates in the workforce, which have been attributed in part to discrepancies between the professional identities that students develop during nursing school and the realities of professional practice.In this Perspective, the authors explore the importance of and the pedagogical strategies used to facilitate professional identity formation for medical and nursing students. They argue that medical and nursing educators aim to instill in their students strong occupational identities which may perpetuate hierarchical disciplinary boundaries. They suggest that health professions educators should move beyond current disciplinary silos and create interprofessional education opportunities for medical students and nursing students to learn together to facilitate the development of the collaborative interprofessional identities necessary for the delivery of high-quality, patient-centered health care.",24,28,29,29,35,6,1,4/9/18,78,,
10.1097/ACM.0000000000000705,"Purpose: To explore the design, implementation, and efficacy of a faculty development program in a cohort of early career junior faculty.
 
 Method: Interested junior faculty members were divided into interdisciplinary small groups led by senior faculty facilitators. The groups met monthly for 1.5 hours to review a modular curriculum from 2011 to 2013. Using a survey at two time points (September 2011 and 2013) and an interim program evaluation, the authors collected data on participants' demographics, faculty interconnectedness, and self-reported knowledge, skills, and attitudes (KSA) in the domains of professional development and scholarship, including the ability to write career goals and align activities with those goals.
 
 Results: A total of 104 junior faculty participated in the program. They demonstrated changes in self-reported KSA in the domains of professional development (P = .013, P = .001) and scholarship (P = .038, P = .015) with an increase in ability to write career goals (P < .001), ability to align activities with those goals (P < .001), and number of and amount of time spent pursuing activities related to those goals (P = .022). These changes were more significant among female faculty and were not affected by academic rank or time since last training. Interconnectedness among faculty increased during the period of study-the number of nodes and ties between nodes within the network increased.
 
 Conclusions: This facilitated peer mentoring program for junior faculty was effective in improving the KSA necessary to promote early career advancement and peer networking, especially for women.",2,2,2,1,2,1,1,3/18/18,34,,
10.1097/ACM.0000000000000704,"Purpose: To compare procedure-specific checklists and a global rating scale in assessing technical competence.
 
 Method: Two trained raters used procedure-specific checklists and a global rating scale to independently evaluate 218 video-recorded performances of six bedside procedures of varying complexity for technical competence. The procedures were completed by 47 residents participating in a formative simulation-based objective structured clinical examination at the University of Calgary in 2011. Pass/fail (competent/not competent) decisions were based on an overall global assessment item on the global rating scale. Raters provided written comments on performances they deemed not competent. Checklist minimum passing levels were set using traditional standard-setting methods.
 
 Results: For each procedure, the global rating scale demonstrated higher internal reliability and lower interrater reliability than the checklist. However, interrater reliability was almost perfect for decisions on competence using the overall global assessment (Kappa range: 0.84-1.00). Clinically significant procedural errors were most often cited as reasons for ratings of not competent. Using checklist scores to diagnose competence demonstrated acceptable discrimination: The area under the curve ranged from 0.84 (95% CI 0.72-0.97) to 0.93 (95% CI 0.82-1.00). Checklist minimum passing levels demonstrated high sensitivity but low specificity for diagnosing competence.
 
 Conclusions: Assessment using a global rating scale may be superior to assessment using a checklist for evaluation of technical competence. Traditional standard-setting methods may establish checklist cut scores with too-low specificity: High checklist scores did not rule out incompetence. The role of clinically significant errors in determining procedural competence should be further evaluated.",2,2,2,1,3,2,1,4/21/18,28,,
10.1097/ACM.0000000000000701,"Problem: The scope and scale of developments in health care redesign have not been sufficiently adopted in primary care residency programs.
 
 Approach: The interdisciplinary Primary Care Faculty Development Initiative was created to teach faculty how to accelerate revisions in primary care residency training. The program focused on skill development in teamwork, change management, leadership, population management, clinical microsystems, and competency assessment. The 2013 pilot program involved 36 family medicine, internal medicine, and pediatric faculty members from 12 residencies in four locations.
 
 Outcomes: The percentage of participants rating intention to implement what was learned as ""very likely to"" or ""absolutely will"" was 16/32 (50%) for leadership, 24/33 (72.7%) for change management, 23/33 (69.7%) for systems thinking, 25/32 (75.8%) for population management, 28/33 (84.9%) for teamwork, 29/33 (87.8%) for competency assessment, and 30/31 (96.7%) for patient centeredness.Content analysis revealed five key themes: leadership skills are key drivers of change, but program faculty face big challenges in changing culture and engaging stakeholders; access to data from electronic health records for population management is a universal challenge; readiness to change varies among the three disciplines and among residencies within each discipline; focusing on patients and their needs galvanizes collaborative efforts across disciplines and within residencies; and collaboration among disciplines to develop and use shared measures of residency programs and learner outcomes can guide and inspire program changes and urgently needed educational research.
 
 Next steps: Revise and reevaluate this rapidly evolving program toward widespread engagement with family medicine, internal medicine, and pediatric residencies.",2,2,2,0,0,0,1,4/25/18,12,,
10.1097/ACM.0000000000000686,"Purpose: To ascertain whether changes occurred in medical student exposure to and attitudes about drug company interactions from 2003-2012, which factors influence exposure and attitudes, and whether exposure and attitudes influence future plans to interact with drug companies.
 
 Method: In 2012, the authors surveyed 1,269 third-year students at eight U.S. medical schools. Items explored student exposure to, attitudes toward, and future plans regarding drug company interactions. The authors compared 2012 survey data with their 2003 survey data from third-year students at the same schools.
 
 Results: The 2012 response rate was 68.2% (866/1,269). Compared with 2003, in 2012, students were significantly less frequently exposed to interactions (1.6/month versus 4.1/month, P < .001), less likely to feel entitled to gifts (41.8% versus 80.3%, P < .001), and more apt to feel gifts could influence them (44.3% versus 31.2%, P < .001). In 2012, 545/839 students (65.0%) reported private outpatient offices were the main location of exposure to pharmaceutical representatives, despite spending only 18.4% of their clerkship-rotation time there. In 2012, 310/703 students (44.1%) were unaware their schools had rules restricting interactions, and 467/837 (55.8%) planned to interact with pharmaceutical representatives during residency.
 
 Conclusions: Students in 2012 had less exposure to drug company interactions and were more likely to have skeptical attitudes than students in 2003. These changes are consistent with national organizations' recommendations to limit and teach about these interactions. Continued efforts to study and influence students' and physician role models' exposures to and attitudes about drug companies are warranted.",1,1,1,1,1,0,1,4/19/18,14,,
10.1097/ACM.0000000000000685,"Purpose: The University of California, San Francisco (UCSF), Haile T. Debas Academy of Medical Educators Innovations Funding program awards competitive grants to create novel curricula and faculty development programs, compare pedagogical approaches, and design learner assessment methods. The authors examined the principal investigators' (PIs') perceptions of the impact of these intramural grants on their careers and on medical education innovation.
 
 Method: At 12 months (project completion) and 24 months (follow-up), PIs submit a progress report describing the impact of their grant on their careers, work with collaborators, subsequent funding, project dissemination, and the UCSF curriculum. The authors analyzed these reports using qualitative thematic analysis and achieved consensus in coding and interpretation through discussion.
 
 Results: From 2001 to 2012, the program funded 77 PIs to lead 103 projects, awarding over $2.2 million. The authors analyzed reports from 88 grants (85.4%) awarded to 68 PIs (88.3%). PIs noted that the funding led to accelerated promotion, expanded networking opportunities, enhanced knowledge and skills, more scholarly publications and presentations, extramural funding, and local and national recognition. They also reported that the funding improved their status in their departments, enhanced their careers as medical educators, laid the foundation for subsequent projects, and engaged an array of stakeholders, including trainees and junior faculty.
 
 Conclusions: These modest intramural education grants not only created innovative, enduring programs but also promoted educators' professional identity formation, fostered collaborations, supported junior faculty in finding their desired career paths, provided advancement opportunities, and raised the local and national profiles of recipients.",7,8,7,7,8,1,1,2/21/18,0,,
10.1097/ACM.0000000000000681,"Learning curves, which graphically show the relationship between learning effort and achievement, are common in published education research but are not often used in day-to-day educational activities. The purpose of this article is to describe the generation and analysis of learning curves and their applicability to health professions education. The authors argue that the time is right for a closer look at using learning curves-given their desirable properties-to inform both self-directed instruction by individuals and education management by instructors.A typical learning curve is made up of a measure of learning (y-axis), a measure of effort (x-axis), and a mathematical linking function. At the individual level, learning curves make manifest a single person's progress towards competence including his/her rate of learning, the inflection point where learning becomes more effortful, and the remaining distance to mastery attainment. At the group level, overlaid learning curves show the full variation of a group of learners' paths through a given learning domain. Specifically, they make overt the difference between time-based and competency-based approaches to instruction. Additionally, instructors can use learning curve information to more accurately target educational resources to those who most require them.The learning curve approach requires a fine-grained collection of data that will not be possible in all educational settings; however, the increased use of an assessment paradigm that explicitly includes effort and its link to individual achievement could result in increased learner engagement and more effective instructional design.",6,6,6,5,9,4,1,2/7/18,3,,
10.1097/ACM.0000000000000680,"Purpose: To evaluate interns' perceived preparedness for defined surgical residency responsibilities and to determine whether fourth-year medical school (M4) preparatory courses (""bootcamps"") facilitate transition to internship.
 
 Method: The authors conducted a multi-institutional, mixed-methods study (June 2009) evaluating interns from 11 U.S. and Canadian surgery residency programs. Interns completed structured surveys and answered open-ended reflective questions about their preparedness for their surgery internship. Analyses include t tests comparing ratings of interns who had and had not participated in formal internship preparation programs. The authors calculated Cohen d for effect size and used grounded theory to identify themes in the interns' reflections.
 
 Results: Of 221 eligible interns, 158 (71.5%) participated. Interns self-reported only moderate preparation for most defined care responsibilities in the medical knowledge and patient care domains but, overall, felt well prepared in the professionalism, interpersonal communication, practice-based learning, and systems-based practice domains. Interns who participated in M4 preparatory curricula had higher self-assessed ratings of surgical technical skills, professionalism, interpersonal communication skills, and overall preparation, at statistically significant levels (P < .05) with medium effect sizes. Themes identified in interns' characterizations of their greatest internship challenges included anxiety or lack of preparation related to performance of technical skills or procedures, managing simultaneous demands, being first responders for critically ill patients, clinical management of predictable postoperative conditions, and difficult communications.
 
 Conclusions: Entering surgical residency, interns report not feeling prepared to fulfill common clinical and professional responsibilities. As M4 curricula may enhance preparation, programs facilitating transition to residency should be developed and evaluated.",27,27,33,27,30,3,1,5/6/18,12,,
10.1097/ACM.0000000000000679,"Challenged by demands to reduce costs and improve service delivery, the U.S. health care system requires transformational change. Health systems innovation is defined broadly as novel ideas, products, services, and processes-including new ways to promote healthy behaviors and better integrate health services with public health and other social services-which achieve better health outcomes and/or patient experience at equal or lower cost. Academic health centers (AHCs) have an opportunity to focus their considerable influence and expertise on health systems innovation to create new approaches to service delivery and to nurture leaders of transformation. AHCs have traditionally used their promotions criteria to signal their values; creating a health systems innovator promotion track could be a critical step towards creating opportunities for innovators in academic medicine. In this Perspective, the authors review publicly available promotions materials at top-ranked medical schools and find that while criteria for advancement increasingly recognize systems innovation, there is a lack of specificity on metrics beyond the traditional yardstick of peer-reviewed publications. In addition to new promotions pathways and alternative evidence for the impact of scholarship, other approaches to fostering health systems innovation at AHCs include more robust funding for career development in health systems innovation, new curricula to enable trainees to develop skills in health systems innovation, and new ways for innovators to disseminate their work. AHCs that foster health systems innovation could meet a critical need to contribute both to the sustainability of our health care system and to AHCs' continued leadership role within it.",3,3,3,3,4,1,1,3/9/18,29,,
10.1097/ACM.0000000000000675,"Purpose: Selective higher education institutions that take race into account in admissions decisions must be able to demonstrate that their policy is justified by a compelling governmental interest, is narrowly tailored, and is the least restrictive means for achieving that interest. The authors thus investigate whether, among medical students, the association between racial diversity (as distinct from other forms of diversity) and learning from individuals from different backgrounds is unique.
 
 Method: The authors examined six dimensions of diversity, including racial/ethnic diversity, among the 2010, 2011, and 2012 cohorts of fourth-year medical students in the United States. They also examined students' responses to two Medical Student Graduation Questionnaire items pertaining to learning from individuals from different backgrounds. They modeled the association between each of the school-level dimensions of diversity and the student-level responses to having learned from others with different backgrounds, and they assessed whether associations vary across different groups of students.
 
 Results: Racial/ethnic diversity is unique in its very strong association with student perceptions of having learned from others who are different. The association between racial/ethnic diversity and student perceptions of having learned from others who are different is especially strong for members of historically underrepresented minority groups.
 
 Conclusions: Compared with other forms of diversity, racial/ethnic diversity has a unique association with students' perceptions of learning from others who are different. This association is of particular relevance to admissions and diversity policies in an era of strict scrutiny of these policies.",2,3,3,3,3,0,1,4/20/18,13,,
10.1097/ACM.0000000000000674,"Purpose: Faculty with high vitality are essential to the missions of academic health centers (AHCs). Because little is known about how to measure or enhance faculty vitality, the authors assessed current faculty vitality and identified its predictors.
 
 Method: In a stratified random sample of 26 nationally representative U.S. AHCs, the authors surveyed 4,578 full-time faculty during 2007-2009. The validated survey measured detailed faculty perceptions of their professional experiences and organizational culture. Vitality was measured with a previously evaluated five-item scale.
 
 Results: Of the faculty invited, 2,381 (52%) responded, with 2,218 eligible for analysis. Respondents included 512 (23%) underrepresented in medicine minority (URMM) faculty and 1,172 (53%) women. In a multivariable model including individual- and AHC-level factors, the strongest predictors of vitality were faculty members' perceptions of four dimensions of AHC culture: Relationships/inclusion, Values alignment, Work-life integration, and Institutional support (all P < .001). Weaker predictors were faculty age, institution type (public/private), and the AHC's National Institutes of Health funding rank (all P ≤ .03). Half of the respondents scored high on vitality, whereas 25% had low, or suboptimal, scores. Holding perceptions of culture constant, neither female nor URMM faculty had vitality scores that were different on average from male or nonminority faculty.
 
 Conclusions: A large percentage of faculty lack the vitality essential to meeting the AHC missions of discovery, education, and patient care. Enhancing faculty vitality, and AHC resilience, requires more attention to strengthening relationships, improving the misalignment between faculty and institutional values, and improving work-life integration.",1,1,1,1,1,0,1,3/19/18,3,,
10.1097/ACM.0000000000000661,"Purpose: A recent Institute of Medicine report concluded that lesbian and gay individuals face discrimination from health care providers and called for research on provider attitudes. Medical school is a critical juncture for improving future providers' treatment of sexual minorities. This study examined both explicit bias and implicit bias against lesbian women and gay men among first-year medical students, focusing on two predictors of such bias, contact and empathy.
 
 Method: This study included the 4,441 heterosexual first-year medical students who participated in the baseline survey of the Medical Student Cognitive Habits and Growth Evaluation Study, which employed a stratified random sample of 49 U.S. medical schools in fall 2010. The researchers measured explicit attitudes toward gay and lesbian people using feeling thermometer self-assessments, implicit attitudes using the Implicit Association Test, amount and favorability of contact using self-report items, and empathy using subscales of the Interpersonal Reactivity Index.
 
 Results: Nearly half (45.79%; 956/2,088) of respondents with complete data on both bias measures expressed at least some explicit bias, and most (81.51%; 1,702/2,088) exhibited at least some implicit bias against gay and lesbian individuals. Both amount and favorability of contact predicted positive implicit and explicit attitudes. Both cognitive and emotional empathy predicted positive explicit attitudes, but not implicit attitudes.
 
 Conclusions: The prevalence of negative attitudes presents an important challenge for medical education, highlighting the need for more research on possible causes of bias. Findings on contact and empathy point to possible curriculum-based interventions aimed at ensuring high-quality care for sexual minorities.",5,6,7,5,6,1,1,4/28/18,16,,
10.1097/ACM.0000000000000658,"Purpose: Research is lacking on psychological distress and disorder among sexual minority medical students (students who identify as nonheterosexual). If left unaddressed, distress may result in academic and professional difficulties and undermine workforce diversity goals. The authors compared depression, anxiety, and self-rated health among sexual minority and heterosexual medical students.
 
 Method: This study included 4,673 first-year students who self-reported sexual orientation in the fall 2010 baseline survey of the Medical Student Cognitive Habits and Growth Evaluation Study, a national longitudinal cohort study. The authors used items from published scales to measure depression, anxiety, self-rated health, and social stressors. They conducted bivariate and multivariate analyses to estimate the association between sexual identity and depression, anxiety, and self-rated health.
 
 Results: Of 4,673 students, 232 (5.0%) identified as a sexual minority. Compared with heterosexual students, after adjusting for relevant covariates, sexual minority students had greater risk of depressive symptoms (adjusted relative risk [ARR] = 1.59 [95% confidence interval, 1.24-2.04]), anxiety symptoms (ARR = 1.64 [1.08-2.49]), and low self-rated health (ARR = 1.77 [1.15-2.60]). Sexual minority students were more likely to report social stressors, including harassment (22.7% versus 12.7%, P < .001) and isolation (53.7% versus 42.8%, P = .001). Exposure to social stressors attenuated but did not eliminate the observed associations between minority sexual identity and mental and self-reported health measures.
 
 Conclusions: First-year sexual minority students experience significantly greater risk of depression, anxiety, and low self-rated health than heterosexual students. Targeted interventions are needed to improve mental health and well-being.",1,1,0,0,1,1,1,4/27/18,13,,
10.1097/ACM.0000000000000655,"Purpose: Because of the high prevalence of burnout among medical students and its association with professional and personal consequences, the authors evaluated the help-seeking behaviors of medical students with burnout and compared their stigma perceptions with those of the general U.S. population and age-matched individuals.
 
 Method: The authors surveyed students at six medical schools in 2012. They measured burnout, symptoms of depression, and quality of life using validated instruments and explored help-seeking behaviors, perceived stigma, personal experiences, and attitudes toward seeking mental health treatment.
 
 Results: Of 2,449 invited students, 873 (35.6%) responded. A third of respondents with burnout (154/454; 33.9%) sought help for an emotional/mental health problem in the last 12 months. Respondents with burnout were more likely than those without burnout to agree or strongly agree with 8 of 10 perceived stigma items. Respondents with burnout who sought help in the last 12 months were twice as likely to report having observed supervisors negatively judge students who sought care (odds ratio [OR] 2.06 [95% confidence interval (CI) 1.25-3.39], P < .01). They also were more likely to have observed peers reveal a student's emotional/mental health problem to others (OR 1.63 [95% CI 1.08-2.47], P = .02). A smaller percentage of respondents would definitely seek professional help for a serious emotional problem (235/872; 26.9%) than of the general population (44.3%) and age-matched individuals (38.8%).
 
 Conclusions: Only a third of medical students with burnout seek help. Perceived stigma, negative personal experiences, and the hidden curriculum may contribute.",15,16,18,15,23,8,1,3/15/18,11,,
10.1097/ACM.0000000000000649,"Purpose: To determine the number of DO (doctor of osteopathic medicine) and MD (doctor of medicine) residents in training programs accredited by the Accreditation Council for Graduate Medical Education (ACGME) and the American Osteopathic Association (AOA) and to examine the behavior of DO residents who moved between the two types of programs.
 
 Method: In 2013, the authors linked data on residents reported in ACGME-accredited and AOA-accredited programs in 2009, 2010, and 2011 to produce a count of all residents, including an unduplicated count of residents reported in joint programs. DO residents were identified who moved between AOA-accredited and ACGME-accredited programs.
 
 Results: There were 106,923 MD residents and 14,789 DO residents on duty on December 31, 2011. Fifty-one percent of DO residents were in ACGME-accredited programs, 40% in AOA-accredited programs, and 9% in joint programs. DOs were 12% of all residents and 14% of first-year residents. Of 3,742 DOs and 16,863 MDs graduating in 2009-2010, 663 MDs and 222 DOs were not reported in graduate medical education (GME) in either 2010 or 2011. A larger percentage of DO graduates were training in the primary care specialties, especially in family medicine.
 
 Conclusions: These data provide the first comprehensive accounting of the numbers of individuals in U.S. GME, in both ACGME- and AOA-accredited residencies. The number of graduates from U.S. medical schools is increasing rapidly; residency positions are growing more slowly. The planned unified accreditation of U.S. GME may cause significant changes in the patterns of GME for future trainees.",6,6,6,6,7,1,1,5/3/18,26,,
10.1097/ACM.0000000000000646,"Since the publication of the Flexner Report in 1910, the medical education enterprise has undergone many changes to ensure that medical schools meet a minimum standard for the curricula and clinical training they offer students. Although the efforts of the licensing and accrediting bodies have raised the quality of medical education, the educational processes that produce the physicians who provide the best patient care and conduct the best biomedical research have not been identified. Comparative analyses are powerful tools to understand the differences between institutions, but they are challenging to carry out. As a result, the analysis performed by U.S. News & World Report (USN&WR) has become the default tool to compare U.S. medical schools. Medical educators must explore more rigorous and equitable approaches to analyze and understand the performance of medical schools. In particular, a better understanding and more thorough evaluation of the most successful institutions in producing academic physicians with biomedical research careers are needed. In this Perspective, the authors present a new model to evaluate medical schools' production of academic physicians who advance medicine through basic, clinical, translational, and implementation science research. This model is based on relevant and accessible objective criteria that should replace the subjective criteria used in the current USN&WR rankings system. By fostering a national discussion about the most meaningful criteria that should be measured and reported, the authors hope to increase transparency of assessment standards and ultimately improve educational quality.",68,74,81,76,81,5,1,4/6/18,26,,
10.1097/ACM.0000000000000640,"The complexity of biomedical research has increased considerably in the last decade, as has the pace of translational research. This complexity has generated a number of novel ethical issues for clinical investigators, institutional review boards (IRBs), and other oversight committees. In response, many academic medical centers have created formal research ethics consultation (REC) services to help clinical investigators and IRBs navigate ethical issues in biomedical research. Key functions of a REC service include assisting with research design and implementation, providing a forum for deliberative exploration of ethical issues, and supplementing regulatory oversight. As increasing numbers of academic research institutions establish REC services, there is a pressing need for consensus about the primary aims and policies that should guide these activities. Establishing clear expectations about the aims and policies of REC services is important if REC programs are to achieve their full potential. Drawing on the experiences of a Clinical and Translational Science Award Research Ethics Consultation Working Group, this article describes three major ethical and professional practice challenges associated with the provision of REC: (1) managing multiple institutional roles and responsibilities, (2) managing sensitive information, and (3) communicating with consultation requestors about how these issues are managed. The paper also presents several practical strategies for addressing these challenges and enhancing the quality of REC services.",1,12,12,12,12,0,1,3/1/18,27,,
10.1097/ACM.0000000000000633,"Medical students are increasingly using electronic health records (EHRs) in clerkships, and medical educators should seek opportunities to use this new technology to improve training. One such opportunity is the ability to ""track"" former patients in the EHR, defined as following up on patients in the EHR for educational purposes for a defined period of time after they have left one's direct care. This activity offers great promise in clinical training by enabling students to audit their diagnostic impressions and follow the clinical history of illness in a manner not possible in the era of paper charting. However, tracking raises important questions about the ethical use of protected health information, including concerns about compromising patient autonomy, resulting in a conflict between medical education and patient privacy. The authors offer critical analysis of arguments on both sides and discuss strategies to balance the ethical conflict by optimizing outcomes and mitigating harms. They observe that tracking improves training, thus offering long-lasting benefits to society, and is supported by the principle of distributive justice. They conclude that students should be permitted to track for educational purposes, but only with defined limits to safeguard patient autonomy, including obtaining permission from patients, having legitimate educational intent, and self-restricting review of records to those essential for training. Lastly, the authors observe that this conflict will become increasingly important with completion of the planned Nationwide Health Information Network and emphasize the need for national guidelines on tracking patients in an ethically appropriate manner.",2,2,2,2,2,0,1,3/14/18,53,,
10.1097/ACM.0000000000000632,"Purpose: To explore how junior doctors (doctors in postgraduate training) retrospectively perceived the influence of their undergraduate palliative care attachments (clinical electives) on their current medical practice.
 
 Method: From 2008 to 2013, 100 students participated in palliative care attachments at the University of Adelaide School of Medicine. In 2013, the authors invited 14 of these, now junior doctors, to be in this study. Participants took part in one-on-one, semistructured interviews. Interview data were analyzed for themes.
 
 Results: Nine junior doctors participated. They were sent a summary of the findings to check whether the themes captured each participant's experiences. Eight replied and agreed. Two main themes were identified: (1) from apprehension to gaining a sense of control, and (2) gaining perspective on the practice of medicine. Participants perceived that the learning experiences from the attachments provided them with a sense of confidence and control over their interactions with dying patients and families. This positive influence not only was present when caring for patients at the end of life but also influenced the participants' identity as medical practitioners.
 
 Conclusions: Findings suggest that junior doctors trained earlier in palliative care have enhanced competencies of professionalism, patient-centered medicine, psychosocial and spiritual aspects of palliative care, communication, teamwork, and self-awareness. Learning a palliative approach can help them make a difference in treating dying patients, but also in general patient care. Therefore, physicians trained in palliative care may be better prepared to contribute to a health care system that is person-centered, ethically conscientious, and personally fulfilling.",1,1,1,1,1,0,1,4/11/18,62,,
10.1097/ACM.0000000000000631,"Problem: Medical education has been cited as both part of the problems facing, and part of the solution to reforming, the increasingly challenging U.S. health care system which is fraught with concerns regarding the quality and affordability of care. To teach value in ways that are impactful, sustainable, and scalable, the best and brightest ideas need to be shared such that educators can build on successful existing innovations.
 
 Approach: To identify the most promising innovations and bright ideas for teaching value to clinical trainees, the authors hosted the ""Teaching Value and Choosing Wisely Challenge."" The challenge used crowdsourcing methods to solicit scalable, pedagogical approaches from across North America, and then draw generalizable lessons.
 
 Outcomes: The authors received 74 submissions (28 innovations; 46 bright ideas) from 14 students, 20 residents/fellows, 38 faculty members (ranging from instructors to full professors), and 2 nonclinical administrators. Submissions represented 14 clinical disciplines including internal medicine, emergency medicine, surgery, pediatrics, obstetrics-gynecology, laboratory medicine, and pharmacy. Thirty-nine abstracts focused on graduate medical education, 15 addressed undergraduate medical education, and 20 applied to both.
 
 Next steps: The authors have solicited, shared, and described solutions for teaching high-value care to medical trainees. Challenge participants demonstrated commitment to improving value and ingenuity in addressing professional barriers to change. Further success requires strong local faculty champions and willing trainee participants. Additionally, the use of data to demonstrate the collective positive impact of these ideas and programs will be critical for sustaining pedagogical changes in the health professions.",1,1,1,1,1,0,1,3/12/18,12,,
10.1097/ACM.0000000000000619,"Purpose: To update and extend a 2000 study on the California Latino physician workforce, the authors examined the Latino physician workforce in the 30-year time frame spanning 1980 to 2010, comparing changes in the rates of physicians per 100,000 population for the Latino and non-Hispanic white (NHW) populations in the United States as a whole and in the five states with (in 2010) the largest Latino populations.
 
 Method: The authors used detailed data from the U.S. Census (Public Use Microdata Samples for 1980-2010) to identify total population, total number of physicians, and Spanish-language ability for both the Latino and NHW populations. They examined nativity for only Latinos.
 
 Results: At the national level, the NHW physician rate per 100,000 of the NHW population increased from 211 in 1980 to 315 in 2010 while the Latino physician rate per 100,000 of the Latino population dropped over the same period from 135 to 105. With small variations, the same trend occurred in all five of the states examined. At the national and state levels, Latino physicians were far more likely to speak Spanish than NHW physicians. Over the 30-year period, the Latino physician population has evolved from being primarily foreign born to being about evenly split between foreign born and U.S. born.
 
 Conclusions: The Latino physician shortage has worsened over the past 30 years. The authors recommend immediate action on the national and local level to increase the supply of Latino physicians.",16,19,23,18,21,3,1,2/26/18,31,,
10.1097/ACM.0000000000000617,"Purpose: Knowing when patients are too ill to benefit from intensive care is essential for clinicians to recommend aggressive or palliative care as appropriate. To explore prognostic ability among critical care fellows, the authors compared fellows' and attendings' assessments of futile critical care and evaluated factors associated with assessments.
 
 Method: Thirty-six attendings and 14 fellows in intensive care units at the University of California, Los Angeles, were surveyed daily for three months (December 2011-March 2012) to identify patients perceived as receiving futile treatment. Frequency of futile treatment assessments and reasons listed by attendings versus fellows were compared. Predictors of futile treatment assessments by provider type were assessed using multivariate probit models.
 
 Results: Attendings made 6,897 assessments on 1,125 patients; fellows made 4,407 assessments on 773 patients. Fellows assessed 161 (20.8%) patients as receiving futile treatment, compared with attendings (123 [10.9%] patients, P<.001), and listed fewer reasons that treatment was futile (P<.001). Fellows were more likely to assess a patient as receiving futile treatment by the second day, whereas attendings took four days. Patients assessed as receiving futile treatment by fellows were less likely than patients so assessed by attendings to die in the hospital (51% versus 68%, P=.003) and within six months (62% versus 85%, P<.001).
 
 Conclusions: Fellows made earlier assessments and judged more patients to be receiving futile treatment than attendings, and their assessments were less predictive of mortality, suggesting that assessment of treatment appropriateness develops with experience.",1,1,1,1,1,0,1,4/26/18,11,,
10.1097/ACM.0000000000000616,"Effectively developing professionalism requires a programmatic view on how medical ethics and humanities should be incorporated into an educational continuum that begins in premedical studies, stretches across medical school and residency, and is sustained throughout one's practice. The Project to Rebalance and Integrate Medical Education National Conference on Medical Ethics and Humanities in Medical Education (May 2012) invited representatives from the three major medical education and accreditation organizations to engage with an expert panel of nationally known medical educators in ethics, history, literature, and the visual arts. This article, based on the views of these representatives and their respondents, offers a future-tense account of how professionalism can be incorporated into medical education.The themes that are emphasized herein include the need to respond to four issues. The first theme highlights how ethics and humanities can provide a response to the dissonance that occurs in current health care delivery. The second theme focuses on how to facilitate preprofessional readiness for applicants through reform of the medical school admission process. The third theme emphasizes the importance of integrating ethics and humanities into the medical school administrative structure. The fourth theme underscores how outcomes-based assessment should reflect developmental milestones for professional attributes and conduct. The participants emphasized that ethics and humanities-based knowledge, skills, and conduct that promote professionalism should be taught with accountability, flexibility, and the premise that all these traits are essential to the formation of a modern professional physician.",7,7,9,8,10,2,1,3/13/18,10,,
10.1097/ACM.0000000000000612,"Purpose: To better understand why women outperform men in the obstetrics and gynecology (Ob/Gyn) clerkship.
 
 Method: The authors conducted a retrospective cohort study of students who rotated in the Ob/Gyn clerkship from 2008 to 2011 and graduated by May 2012 from the Icahn School of Medicine at Mount Sinai in New York City. They compared female and male students' performance on preclerkship standardized tests (the Medical College Admission Test [MCAT] and United States Medical Licensing Examination [USMLE] Step 1) and on Ob/Gyn clerkship components (clinical skills achievement, oral and written case presentations, clinical evaluations, and National Board of Medical Examiners [NBME] subject examination).
 
 Results: The study included 163 (53.4%) women and 142 (46.6%) men. Among students who took the MCAT, women scored lower than men with a mean (standard deviation) of 33.2 (3.2) versus 34.6 (3.3) (P=.001). Similarly, among all students, women scored lower than men on the USMLE Step 1: 227 (19.1) versus 232.5 (18.8) (P=.012). There were no significant gender differences on most clerkship components. However, women scored higher than men on the Ob/Gyn NBME subject examination: 78.0 (7.5) versus 74.8 (8.4) (P=.001). Consequently, female students achieved higher overall clerkship scores than men: 88.5 (5.6) versus 87.1 (5.1) (P=.024). Analysis of covariance confirmed that gender is associated with NBME subject examination score (P<.001).
 
 Conclusions: Women outscored men on the NBME subject examination in Ob/Gyn and thereby outperformed men in the Ob/Gyn clerkship.",2,2,7,1,2,1,1,4/30/18,7,,
